
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	50.00000000%	[9.4531%, 90.5469%]
3	33.33333333%	[6.1492%, 79.2340%]
4	25.00000000%	[4.5587%, 69.9358%]
5	40.00000000%	[11.7621%, 76.9276%]
6	50.00000000%	[18.7616%, 81.2384%]
7	42.85714286%	[15.8220%, 74.9542%]
8	50.00000000%	[21.5216%, 78.4784%]
9	44.44444444%	[18.8779%, 73.3349%]
10	50.00000000%	[23.6593%, 76.3407%]
11	54.54545455%	[28.0092%, 78.7287%]
12	50.00000000%	[25.3782%, 74.6218%]
13	53.84615385%	[29.1438%, 76.7939%]
14	57.14285714%	[32.5906%, 78.6192%]
15	60.00000000%	[35.7468%, 80.1755%]
16	62.50000000%	[38.6410%, 81.5188%]
17	64.70588235%	[41.3004%, 82.6903%]
18	61.11111111%	[38.6190%, 79.6948%]
19	57.89473684%	[36.2759%, 76.8581%]
20	60.00000000%	[38.6582%, 78.1193%]
21	57.14285714%	[36.5466%, 75.5300%]
22	59.09090909%	[38.7348%, 76.7442%]
23	60.86956522%	[40.7855%, 77.8424%]
24	58.33333333%	[38.8347%, 75.5324%]
25	56.00000000%	[37.0673%, 73.3344%]
26	53.84615385%	[35.4579%, 71.2441%]
27	51.85185185%	[33.9856%, 69.2568%]
28	53.57142857%	[35.8127%, 70.4684%]
29	51.72413793%	[34.4310%, 68.6139%]
30	50.00000000%	[33.1541%, 66.8459%]
31	51.61290323%	[34.8404%, 68.0297%]
32	50.00000000%	[33.6309%, 66.3691%]
33	51.51515152%	[35.2184%, 67.4960%]
34	52.94117647%	[36.7367%, 68.5485%]
35	54.28571429%	[38.1897%, 69.5340%]
36	52.77777778%	[37.0059%, 68.0140%]
37	51.35135135%	[35.8949%, 66.5536%]
38	52.63157895%	[37.2590%, 67.5210%]
39	53.84615385%	[38.5694%, 68.4331%]
40	52.50000000%	[37.4974%, 67.0645%]
41	53.65853659%	[38.7465%, 67.9438%]
42	52.38095238%	[37.7225%, 66.6404%]
43	51.16279070%	[36.7523%, 65.3826%]
44	52.27272727%	[37.9355%, 66.2450%]
45	51.11111111%	[37.0045%, 65.0430%]
46	52.17391304%	[38.1374%, 65.8753%]
47	51.06382979%	[37.2425%, 64.7244%]
48	50.00000000%	[36.3893%, 63.6107%]
49	51.02040816%	[37.4676%, 64.4249%]
50	50.00000000%	[36.6445%, 63.3555%]
51	50.98039216%	[37.6809%, 64.1425%]
52	50.00000000%	[36.8859%, 63.1141%]
53	49.05660377%	[36.1242%, 62.1165%]
54	48.14814815%	[35.3940%, 61.1483%]
55	47.27272727%	[34.6931%, 60.2085%]
56	46.42857143%	[34.0199%, 59.2958%]
57	47.36842105%	[34.9872%, 60.0820%]
58	46.55172414%	[34.3320%, 59.1998%]
59	47.45762712%	[35.2659%, 59.9602%]
60	48.33333333%	[36.1750%, 60.6922%]
61	49.18032787%	[37.0604%, 61.3974%]
62	48.38709677%	[36.4099%, 60.5525%]
63	49.20634921%	[37.2668%, 61.2371%]
64	50.00000000%	[38.1021%, 61.8979%]
65	49.23076923%	[37.4638%, 61.0835%]
66	48.48484848%	[36.8470%, 60.2894%]
67	49.25373134%	[37.6522%, 60.9362%]
68	48.52941176%	[37.0508%, 60.1652%]
69	47.82608696%	[36.4687%, 59.4127%]
70	48.57142857%	[37.2459%, 60.0456%]
71	47.88732394%	[36.6775%, 59.3140%]
72	48.61111111%	[37.4327%, 59.9302%]
73	49.31506849%	[38.1709%, 60.5278%]
74	50.00000000%	[38.8926%, 61.1074%]
75	49.33333333%	[38.3300%, 60.4016%]
76	48.68421053%	[37.7837%, 59.7113%]
77	49.35064935%	[38.4830%, 60.2800%]
78	50.00000000%	[39.1674%, 60.8326%]
79	50.63291139%	[39.8374%, 61.3697%]
80	51.25000000%	[40.4933%, 61.8921%]
81	51.85185185%	[41.1356%, 62.4004%]
82	52.43902439%	[41.7647%, 62.8950%]
83	53.01204819%	[42.3810%, 63.3767%]
84	53.57142857%	[42.9847%, 63.8458%]
85	52.94117647%	[42.4342%, 63.1938%]
86	53.48837209%	[43.0243%, 63.6541%]
87	54.02298851%	[43.6028%, 64.1029%]
88	54.54545455%	[44.1701%, 64.5406%]
89	53.93258427%	[43.6295%, 63.9103%]
90	54.44444444%	[44.1846%, 64.3404%]
91	54.94505495%	[44.7293%, 64.7602%]
92	54.34782609%	[44.1998%, 64.1473%]
93	53.76344086%	[43.6829%, 63.5454%]
94	54.25531915%	[44.2154%, 63.9610%]
95	54.73684211%	[44.7383%, 64.3672%]
96	55.20833333%	[45.2516%, 64.7642%]
97	55.67010309%	[45.7558%, 65.1524%]
98	56.12244898%	[46.2510%, 65.5320%]
99	56.56565657%	[46.7375%, 65.9034%]
100	56.00000000%	[46.2281%, 65.3280%]
101	56.43564356%	[46.7056%, 65.6940%]
102	55.88235294%	[46.2070%, 65.1307%]
103	55.33980583%	[45.7192%, 64.5764%]
104	55.76923077%	[46.1877%, 64.9398%]
105	56.19047619%	[46.6483%, 65.2956%]
106	56.60377358%	[47.1014%, 65.6443%]
107	57.00934579%	[47.5469%, 65.9859%]
108	57.40740741%	[47.9852%, 66.3208%]
109	56.88073394%	[47.5059%, 65.7871%]
110	57.27272727%	[47.9369%, 66.1177%]
111	56.75675676%	[47.4671%, 65.5944%]
112	57.14285714%	[47.8911%, 65.9208%]
113	57.52212389%	[48.3085%, 66.2411%]
114	57.89473684%	[48.7194%, 66.5554%]
115	58.26086957%	[49.1239%, 66.8638%]
116	57.75862069%	[48.6630%, 66.3569%]
117	57.26495726%	[48.2108%, 65.8572%]
118	57.62711864%	[48.6091%, 66.1642%]
119	57.98319328%	[49.0015%, 66.4656%]
120	57.50000000%	[48.5578%, 65.9770%]
121	57.02479339%	[48.1222%, 65.4951%]
122	57.37704918%	[48.5087%, 65.7951%]
123	57.72357724%	[48.8896%, 66.0898%]
124	58.06451613%	[49.2650%, 66.3794%]
125	58.40000000%	[49.6350%, 66.6641%]
126	58.73015873%	[49.9998%, 66.9440%]
127	59.05511811%	[50.3594%, 67.2191%]
128	58.59375000%	[49.9319%, 66.7548%]
129	58.91472868%	[50.2866%, 67.0273%]
130	58.46153846%	[49.8666%, 66.5708%]
131	58.77862595%	[50.2166%, 66.8405%]
132	58.33333333%	[49.8038%, 66.3916%]
133	58.64661654%	[50.1491%, 66.6586%]
134	58.95522388%	[50.4899%, 66.9214%]
135	59.25925926%	[50.8261%, 67.1801%]
136	59.55882353%	[51.1578%, 67.4347%]
137	59.85401460%	[51.4852%, 67.6853%]
138	59.42028986%	[51.0801%, 67.2502%]
139	58.99280576%	[50.6815%, 66.8204%]
140	59.28571429%	[51.0050%, 67.0704%]
141	59.57446809%	[51.3244%, 67.3166%]
142	59.85915493%	[51.6398%, 67.5592%]
143	60.13986014%	[51.9511%, 67.7981%]
144	60.41666667%	[52.2585%, 68.0335%]
145	60.68965517%	[52.5620%, 68.2655%]
146	60.95890411%	[52.8618%, 68.4941%]
147	61.22448980%	[53.1579%, 68.7194%]
148	60.81081081%	[52.7678%, 68.3069%]
149	61.07382550%	[53.0606%, 68.5304%]
150	61.33333333%	[53.3498%, 68.7509%]
151	60.92715232%	[52.9662%, 68.3459%]
152	60.52631579%	[52.5883%, 67.9454%]
153	60.78431373%	[52.8747%, 68.1656%]
154	61.03896104%	[53.1578%, 68.3828%]
155	61.29032258%	[53.4375%, 68.5970%]
156	60.89743590%	[53.0661%, 68.2050%]
157	60.50955414%	[52.6999%, 67.8172%]
158	60.75949367%	[52.9770%, 68.0312%]
159	61.00628931%	[53.2510%, 68.2423%]
160	61.25000000%	[53.5218%, 68.4507%]
161	61.49068323%	[53.7896%, 68.6563%]
162	61.72839506%	[54.0543%, 68.8592%]
163	61.96319018%	[54.3160%, 69.0595%]
164	62.19512195%	[54.5748%, 69.2572%]
165	62.42424242%	[54.8308%, 69.4524%]
166	62.04819277%	[54.4725%, 69.0788%]
167	62.27544910%	[54.7261%, 69.2728%]
168	62.50000000%	[54.9768%, 69.4643%]
169	62.13017751%	[54.6242%, 69.0970%]
170	62.35294118%	[54.8726%, 69.2873%]
171	62.57309942%	[55.1184%, 69.4754%]
172	62.79069767%	[55.3615%, 69.6611%]
173	62.42774566%	[55.0146%, 69.3009%]
174	62.64367816%	[55.2556%, 69.4855%]
175	62.85714286%	[55.4940%, 69.6679%]
176	62.50000000%	[55.1524%, 69.3136%]
177	62.14689266%	[54.8151%, 68.9626%]
178	62.35955056%	[55.0519%, 69.1450%]
179	62.01117318%	[54.7191%, 68.7985%]
180	62.22222222%	[54.9538%, 68.9799%]
181	61.87845304%	[54.6255%, 68.6376%]
182	62.08791209%	[54.8582%, 68.8179%]
183	61.74863388%	[54.5342%, 68.4799%]
184	61.41304348%	[54.2142%, 68.1451%]
185	61.62162162%	[54.4452%, 68.3252%]
186	61.29032258%	[54.1293%, 67.9944%]
187	60.96256684%	[53.8171%, 67.6667%]
188	60.63829787%	[53.5087%, 67.3419%]
189	60.31746032%	[53.2038%, 67.0201%]
190	60.52631579%	[53.4336%, 67.2019%]
191	60.73298429%	[53.6611%, 67.3816%]
192	60.93750000%	[53.8865%, 67.5594%]
193	60.62176166%	[53.5859%, 67.2431%]
194	60.82474227%	[53.8093%, 67.4198%]
195	60.51282051%	[53.5124%, 67.1071%]
196	60.20408163%	[53.2187%, 66.7971%]
197	59.89847716%	[52.9284%, 66.4899%]
198	59.59595960%	[52.6413%, 66.1854%]
199	59.79899497%	[52.8635%, 66.3634%]
200	60.00000000%	[53.0837%, 66.5394%]


