
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	0.00000000%	[0.0000%, 65.7620%]
3	0.00000000%	[0.0000%, 56.1497%]
4	0.00000000%	[0.0000%, 48.9891%]
5	20.00000000%	[3.6224%, 62.4465%]
6	33.33333333%	[9.6771%, 70.0007%]
7	28.57142857%	[8.2219%, 64.1066%]
8	37.50000000%	[13.6844%, 69.4258%]
9	33.33333333%	[12.0584%, 64.5798%]
10	40.00000000%	[16.8180%, 68.7326%]
11	45.45454545%	[21.2713%, 71.9908%]
12	41.66666667%	[19.3260%, 68.0489%]
13	46.15384615%	[23.2061%, 70.8562%]
14	50.00000000%	[26.7992%, 73.2008%]
15	53.33333333%	[30.1170%, 75.1905%]
16	56.25000000%	[33.1786%, 76.9013%]
17	58.82352941%	[36.0054%, 78.3889%]
18	55.55555556%	[33.7164%, 75.4405%]
19	52.63157895%	[31.7078%, 72.6702%]
20	55.00000000%	[34.2085%, 74.1802%]
21	57.14285714%	[36.5466%, 75.5300%]
22	59.09090909%	[38.7348%, 76.7442%]
23	60.86956522%	[40.7855%, 77.8424%]
24	58.33333333%	[38.8347%, 75.5324%]
25	56.00000000%	[37.0673%, 73.3344%]
26	53.84615385%	[35.4579%, 71.2441%]
27	51.85185185%	[33.9856%, 69.2568%]
28	50.00000000%	[32.6331%, 67.3669%]
29	48.27586207%	[31.3861%, 65.5690%]
30	46.66666667%	[30.2324%, 63.8577%]
31	48.38709677%	[31.9703%, 65.1596%]
32	46.87500000%	[30.8694%, 63.5505%]
33	48.48484848%	[32.5040%, 64.7816%]
34	50.00000000%	[34.0693%, 65.9307%]
35	51.42857143%	[35.5688%, 67.0058%]
36	50.00000000%	[34.4743%, 65.5257%]
37	48.64864865%	[33.4464%, 64.1051%]
38	50.00000000%	[34.8499%, 65.1501%]
39	51.28205128%	[36.1994%, 66.1348%]
40	50.00000000%	[35.1995%, 64.8005%]
41	51.21951220%	[36.4845%, 65.7456%]
42	50.00000000%	[35.5260%, 64.4740%]
43	48.83720930%	[34.6174%, 63.2477%]
44	50.00000000%	[35.8318%, 64.1682%]
45	48.88888889%	[34.9570%, 62.9955%]
46	50.00000000%	[36.1189%, 63.8811%]
47	48.93617021%	[35.2756%, 62.7575%]
48	47.91666667%	[34.4713%, 61.6708%]
49	48.97959184%	[35.5751%, 62.5324%]
50	48.00000000%	[34.7971%, 61.4883%]
51	49.01960784%	[35.8575%, 62.3191%]
52	48.07692308%	[35.1041%, 61.3143%]
53	47.16981132%	[34.3822%, 60.3399%]
54	46.29629630%	[33.6899%, 59.3946%]
55	45.45454545%	[33.0253%, 58.4773%]
56	44.64285714%	[32.3867%, 57.5868%]
57	45.61403509%	[33.3726%, 58.4093%]
58	44.82758621%	[32.7499%, 57.5479%]
59	45.76271186%	[33.7013%, 58.3422%]
60	46.66666667%	[34.6279%, 59.1066%]
61	47.54098361%	[35.5305%, 59.8428%]
62	46.77419355%	[34.9088%, 59.0160%]
63	47.61904762%	[35.7821%, 59.7296%]
64	48.43750000%	[36.6336%, 60.4184%]
65	47.69230769%	[36.0218%, 59.6204%]
66	46.96969697%	[35.4304%, 58.8423%]
67	47.76119403%	[36.2504%, 59.5148%]
68	47.05882353%	[35.6731%, 58.7591%]
69	46.37681159%	[35.1142%, 58.0216%]
70	47.14285714%	[35.9049%, 58.6781%]
71	46.47887324%	[35.3584%, 57.9608%]
72	47.22222222%	[36.1265%, 58.5993%]
